电影名,导演,主演,年份,电影类型,评分,评语,电影海报
爱在黎明破晓前,理查德·林克莱特 Richard Linklater   ,伊桑·霍克 Ethan Hawke ...,1995,剧情 爱情,8.8,缘分是个连绵词，最美不过一瞬。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.webp
哈利·波特与阿兹卡班的囚徒,Alfonso Cuarón   ,丹尼尔·雷德克里夫 Daniel Radcliffe / Emma...,2004,奇幻 冒险,8.8,不一样的导演，不一样的哈利·波特。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.webp
一一,杨德昌 Edward Yang   ,吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,2000,剧情 爱情 家庭,9.1,我们都曾经是一一。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.webp
菊次郎的夏天,北野武 Takeshi Kitano   ,北野武 Takeshi Kitano / 关口雄介 Yus...,1999,剧情 喜剧,8.8,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.webp
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰 Christopher Nolan   ,克里斯蒂安·贝尔 Christ...,2012,剧情 动作 科幻 犯罪 惊悚,8.8,诺兰就是保证。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.webp
消失的爱人,大卫·芬奇 David Fincher   ,本·阿弗莱克 Ben Affleck / 罗莎蒙...,2014,剧情 犯罪 悬疑 惊悚,8.7,年度最佳date movie。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.webp
小森林 冬春篇,森淳一 Junichi Mori   ,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2015,剧情,9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2215147728.webp
无人知晓,是枝裕和 Hirokazu Koreeda   ,柳乐优弥 Yûya Yagira / 北浦爱...,2004,剧情,9.1,我的平常生活就是他人的幸福。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p661160053.webp
超能陆战队,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams   ,斯科特...,2014,喜剧 动作 科幻 动画 冒险,8.7,Balalala~~~,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2614500883.webp
入殓师,泷田洋二郎 Yôjirô Takita   ,本木雅弘 Masahiro Motoki / ...,2008,剧情,8.9,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2635433927.webp
倩女幽魂,程小东 Siu-Tung Ching   ,张国荣 Leslie Cheung / 王祖贤 Joey W...,1987,爱情 奇幻 武侠 古装,8.7,两张绝世的脸。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.webp
侧耳倾听,近藤喜文 Yoshifumi Kondo   ,本名阳子 Youko Honna / 小林桂树 K...,1995,剧情 爱情 动画,8.9,少女情怀总是诗。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456692072.webp
完美的世界,克林特·伊斯特伍德 Clint Eastwood   ,凯文·科斯特纳 Kevin Cos...,1993,剧情 犯罪,9.1,坏人的好总是比好人的好来得更感人。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2190556408.webp
爱在日落黄昏时,理查德·林克莱特 Richard Linklater   ,伊桑·霍克 Ethan Hawke ...,2004,剧情 爱情,8.9,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561542458.webp
借东西的小人阿莉埃蒂,米林宏昌 Hiromasa Yonebayashi   ,志田未来 Mirai Shida / 神木...,2010,动画 奇幻 冒险,8.9,曾经的那段美好会沉淀为一辈子的记忆。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.webp
甜蜜蜜,陈可辛 Peter Chan   ,黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,1996,剧情 爱情,8.9,相逢只要一瞬间，等待却像是一辈子。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.webp
萤火之森,大森贵弘 Takahiro Omori   ,佐仓绫音 Ayane Sakura / 内山昂辉 K...,2011,剧情 爱情 动画 奇幻,8.9,触不到的恋人。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1675053073.webp
哈利·波特与密室,Chris Columbus   ,丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,2002,奇幻 冒险,8.8,魔法的密室之门已打开...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1082651990.webp
驯龙高手,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:...,,2010,动画 奇幻 冒险,8.7,和谐的生活离不开摸头与被摸头。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.webp
玛丽和马克思,亚当·艾略特 Adam Elliot   ,托妮·科莱特 Toni Collette / 菲利...,2009,剧情 喜剧 动画,8.9,你是我最好的朋友，你是我唯一的朋友 。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p488255145.webp
幸福终点站,史蒂文·斯皮尔伯格 Steven Spielberg   ,汤姆·汉克斯 Tom Hanks...,2004,喜剧 剧情 爱情,8.8,有时候幸福需要等一等。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p854757687.webp
天书奇谭,王树忱 Shuchen Wang / 钱运达 Yunda Qian   ,丁建华 Jianhua Din...,1983,动画 奇幻,9.2,传奇的年代，醉人的童话。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2515539487.webp
大鱼,蒂姆·波顿 Tim Burton   ,伊万·麦克格雷格 Ewan McGregor / 阿...,2003,剧情 家庭 奇幻 冒险,8.8,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p692813374.webp
告白,中岛哲也 Tetsuya Nakashima   ,松隆子 Takako Matsu / 冈田将生 ...,2010,剧情 悬疑,8.7,没有一人完全善，也没有一人完全恶。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.webp
阳光姐妹淘,姜炯哲 Hyeong-Cheol Kang   ,沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,2011,剧情 喜剧,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.webp
射雕英雄传之东成西就,刘镇伟 Jeffrey Lau   ,梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,1993,喜剧 奇幻 武侠 古装,8.7,百看不厌。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2609063925.webp
怪兽电力公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman   ,约...,2001,儿童 喜剧 动画 奇幻 冒险,8.7,不要给它起名字，起了名字就有感情了。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.webp
时空恋旅人,理查德·柯蒂斯 Richard Curtis   ,多姆纳尔·格里森 Domhnall Gl...,2013,喜剧 爱情 奇幻,8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.webp
神偷奶爸,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud   ,...,2010,喜剧 动画 冒险,8.6,Mr. I Don't Care其实也有Care的时候。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.webp
恐怖直播,金秉祐 Byeong-woo Kim   ,河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,2013,剧情 犯罪 悬疑,8.7,恐怖分子的“秋菊打官司”。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.webp
傲慢与偏见,乔·怀特 Joe Wright   ,凯拉·奈特莉 Keira Knightley / 马修·...,2005,剧情 爱情,8.7,爱是摈弃傲慢与偏见之后的曙光。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.webp
玩具总动员3,李·昂克里奇 Lee Unkrich   ,汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,2010,喜剧 动画 奇幻 冒险,8.9,跨度十五年的欢乐与泪水。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.webp
教父3,弗朗西斯·福特·科波拉 Francis Ford Coppola   ,阿尔·帕西诺 A...,1990,剧情 犯罪,9.0,任何信念的力量，都无法改变命运。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.webp
釜山行,延尚昊 Sang-ho Yeon   ,孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...,2016,动作 惊悚 灾难,8.6,揭露人性的丧尸题材力作。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.webp
一个叫欧维的男人决定去死,汉内斯·赫尔姆 Hannes Holm   ,罗夫·拉斯加德 Rolf Lassgård...,2015,剧情,8.9,惠及一生的美丽。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.webp
哪吒闹海,严定宪 Dingxian Yan / 王树忱 Shuchen Wang   ,梁正晖 Zhenghui ...,1979,冒险 动画 奇幻,9.1,想你时你在闹海。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2532803206.webp
被解救的姜戈,昆汀·塔伦蒂诺 Quentin Tarantino   ,杰米·福克斯 Jamie Foxx /...,2012,剧情 动作 西部 冒险,8.8,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1800813767.webp
血战钢锯岭,梅尔·吉布森 Mel Gibson   ,安德鲁·加菲尔德 Andrew Garfield /...,2016,剧情 传记 历史 战争,8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.webp
未麻的部屋,今敏 Satoshi Kon   ,岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,1997,动画 奇幻 惊悚,9.0,好的剧本是，就算你猜到了结局也猜不到全部。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.webp
七武士,黑泽明 Akira Kurosawa   ,三船敏郎 Toshirô Mifune / 志村乔 ...,1954,动作 冒险 剧情,9.3,时代悲歌。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215886505.webp
我是山姆,杰茜·尼尔森 Jessie Nelson   ,Sean Penn / Dakota Fanning / Mi...,2001,剧情 家庭,9.0,爱并不需要智商 。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p652417775.webp
头号玩家,史蒂文·斯皮尔伯格 Steven Spielberg   ,泰伊·谢里丹 Tye Sheri...,2018,动作 科幻 冒险,8.7,写给影迷，动漫迷和游戏迷的一封情书。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.webp
喜宴,李安 Ang Lee   ,赵文瑄 Winston Chao / 郎雄 Sihung Lung / 归亚...,1993,剧情 喜剧 爱情 同性 家庭,8.9,中国家庭的喜怒哀乐忍。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2249048907.webp
电锯惊魂,詹姆斯·温 James Wan   ,雷·沃纳尔 Leigh Whannell / 加利·艾...,2004,悬疑 惊悚 恐怖,8.7,真相就在眼前。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p726839485.webp
新世界,朴勋政 Hoon-jung Park   ,李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,2013,剧情 犯罪,8.9,要做就做得狠一点，这样才能活下去。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1903379979.webp
风之谷,宫崎骏 Hayao Miyazaki   ,岛本须美 Sumi Shimamoto / 松田洋治 Y...,1984,动画 奇幻 冒险,8.9,动画片的圣经。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.webp
卢旺达饭店,特瑞·乔治 Terry George   ,唐·钱德尔 Don Cheadle / 苏菲·奥...,2004,剧情 传记 历史 战争,8.9,当这个世界闭上双眼，他却敞开了怀抱。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p470419493.webp
上帝之城,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,,2002,犯罪 剧情,9.0,被上帝抛弃了的上帝之城。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455677490.webp
模仿游戏,莫滕·泰杜姆 Morten Tyldum   ,本尼迪克特·康伯巴奇 Benedict C...,2014,剧情 传记 战争 同性,8.7,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2255040492.webp
寄生虫,奉俊昊 Joon-ho Bong   ,宋康昊 Kang-ho Song / 李善均 Seon-gyun...,2019,剧情 喜剧,8.8,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.webp
疯狂原始人,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演...,,2013,喜剧 动画 冒险,8.7,老少皆宜，这就是好莱坞动画的魅力。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.webp
三块广告牌,马丁·麦克唐纳 Martin McDonagh   ,弗兰西斯·麦克多蒙德 France...,2017,剧情 犯罪,8.7,怼天怼地，你走后，她与世界为敌。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2510081688.webp
花样年华,王家卫 Kar Wai Wong   ,梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...,2000,剧情 爱情,8.7,偷情本没有这样美。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910828286.webp
英雄本色,吴宇森 John Woo   ,周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,1986,剧情 动作 犯罪,8.6,英雄泪短，兄弟情长。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.webp
谍影重重3,保罗·格林格拉斯 Paul Greengrass   ,马特·达蒙 Matt Damon / ...,2007,动作 悬疑 惊悚,8.8,像吃了苏打饼一样干脆的电影。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792223507.webp
黑客帝国3：矩阵革命,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,,2003,动作 科幻,8.8,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461818.webp
达拉斯买家俱乐部,让-马克·瓦雷 Jean-Marc Vallée   ,马修·麦康纳 Matthew McCon...,2013,剧情 传记 同性,8.8,Jared Leto的腿比女人还美！,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.webp
纵横四海,吴宇森 John Woo   ,周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,1991,剧情 喜剧 动作 犯罪,8.8,香港浪漫主义警匪动作片的巅峰之作。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597918718.webp
头脑特工队,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,,2015,喜剧 动画 冒险,8.7,愿我们都不用长大，每一座城堡都能永远存在。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2266293606.webp
你的名字。,新海诚 Makoto Shinkai   ,神木隆之介 Ryûnosuke Kamiki / 上...,2016,剧情 爱情 动画,8.5,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.webp
心迷宫,忻钰坤 Yukun Xin   ,霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,2014,剧情 犯罪 悬疑,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2276780256.webp
岁月神偷,罗启锐 Alex Law   ,吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,2010,剧情 家庭,8.7,岁月流逝，来日可追。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456666151.webp
记忆碎片,克里斯托弗·诺兰 Christopher Nolan   ,盖·皮尔斯 Guy Pearce /...,2000,犯罪 剧情 悬疑 惊悚,8.7,一个针管引发的血案。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p641688453.webp
忠犬八公物语,Seijirô Kôyama   ,山本圭 Kei Yamamoto / 井川比佐志 Hisa...,1987,剧情,9.2,养狗三日，便会对你终其一生。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2603716224.webp
哈利·波特与火焰杯,迈克·内威尔 Mike Newell   ,丹尼尔·雷德克里夫 Daniel Radclif...,2005,悬疑 奇幻 冒险,8.7,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p735391084.webp
海街日记,是枝裕和 Hirokazu Koreeda   ,绫濑遥 Haruka Ayase / 长泽雅美 M...,2015,剧情 家庭,8.8,是枝裕和的家庭习作。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2603364117.webp
荒蛮故事,达米安·斯兹弗隆 Damián Szifron   ,达里奥·葛兰帝内提 Darío...,2014,剧情 喜剧 犯罪,8.8,始于荒诞，止于更荒诞。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2584519452.webp
惊魂记,阿尔弗雷德·希区柯克 Alfred Hitchcock   ,安东尼·博金斯 Antho...,1960,悬疑 惊悚 恐怖,9.0,故事的反转与反转，分裂电影的始祖。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.webp
爆裂鼓手,达米恩·查泽雷 Damien Chazelle   ,迈尔斯·特勒 Miles Teller /...,2014,剧情 音乐,8.7,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.webp
真爱至上,理查德·柯蒂斯 Richard Curtis   ,休·格兰特 Hugh Grant / 柯林...,2003,喜剧 剧情 爱情,8.6,爱，是个动词。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475600770.webp
贫民窟的百万富翁,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan   ,戴夫...,2008,剧情 爱情,8.6,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.webp
东邪西毒,王家卫 Kar Wai Wong   ,张国荣 Leslie Cheung / 林青霞 Brigitte...,1994,剧情 动作 爱情 武侠 古装,8.6,电影诗。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.webp
九品芝麻官,王晶 Jing Wong   ,周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,1994,剧情 喜剧 古装,8.6,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p648370300.webp
小偷家族,是枝裕和 Hirokazu Koreeda   ,中川雅也 Lily Franky / 安藤樱 Sa...,2018,剧情 犯罪 家庭,8.7,我们组成了家。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.webp
绿里奇迹,Frank Darabont   ,汤姆·汉克斯 Tom Hanks / 大卫·摩斯 David M...,1999,犯罪 剧情 奇幻 悬疑,8.9,天使暂时离开。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p767586451.webp
无敌破坏王,瑞奇·莫尔 Rich Moore   ,约翰·C·赖利 John C. Reilly / 萨拉...,2012,喜剧 动画 奇幻 冒险,8.7,迪士尼和皮克斯拿错剧本的产物。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.webp
爱在午夜降临前,理查德·林克莱特 Richard Linklater   ,伊桑·霍克 Ethan Hawke ...,2013,剧情 爱情,8.8,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2074715729.webp
黑天鹅,达伦·阿罗诺夫斯基 Darren Aronofsky   ,娜塔莉·波特曼 Natalie...,2010,剧情 惊悚,8.6,黑暗之美。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549648344.webp
你看起来好像很好吃,藤森雅也 Masaya Fujimori   ,山口胜平 Kappei Yamaguchi / 爱河...,2010,剧情 动画 儿童,8.9,感情不分食草或者食肉。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p709670262.webp
冰川时代,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge   主演...,,2002,喜剧 动画 冒险,8.6,松鼠才是角儿。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.webp
萤火虫之墓,高畑勋 Isao Takahata   ,辰己努 / 白石绫乃 / 志乃原良子,1988,动画 剧情 战争,8.7,幸福是生生不息，却难以触及的远。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2237136718.webp
疯狂的石头,宁浩 Hao Ning   ,郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,2006,喜剧 犯罪,8.5,中国版《两杆大烟枪》。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p712241453.webp
雨人,巴瑞·莱文森 Barry Levinson   ,达斯汀·霍夫曼 Dustin Hoffman ...,1988,剧情,8.7,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2353324612.webp
恋恋笔记本,尼克·卡索维茨 Nick Cassavetes   ,瑞恩·高斯林 Ryan Gosling /...,2004,剧情 爱情,8.6,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p483604864.webp
恐怖游轮,克里斯托弗·史密斯 Christopher Smith   ,梅利莎·乔治 Melissa ...,2009,剧情 悬疑 惊悚,8.5,不要企图在重复中寻找已经失去的爱。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462470694.webp
雨中曲,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly   ,吉恩·...,1952,喜剧 歌舞 爱情,9.1,骨灰级歌舞片。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.webp
魔女宅急便,宫崎骏 Hayao Miyazaki   ,高山南 Minami Takayama / 佐久间玲 Re...,1989,动画 奇幻 冒险,8.7,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456676352.webp
色，戒,李安 Ang Lee   ,梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,2007,剧情 爱情 情色,8.5,假戏真情，爱欲深海,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453716305.webp
二十二,郭柯 Ke Guo   主演:,,2015,纪录片,8.7,有一些东西不应该被遗忘。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2457609817.webp
2001太空漫游,斯坦利·库布里克 Stanley Kubrick   ,凯尔·杜拉 Keir Dullea / ...,1968,科幻 惊悚 冒险,8.8,现代科幻电影的开山之作，最伟大导演的最伟大影片。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2560717825.webp
虎口脱险,杰拉尔·乌里 Gérard Oury   ,路易·德·菲耐斯 Louis de Funès...,1966,喜剧 战争,8.9,永远看不腻的喜剧。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.webp
城市之光,Charles Chaplin   ,查理·卓别林 Charles Chaplin / 弗吉尼亚·...,1931,喜剧 剧情 爱情,9.3,永远的小人物，伟大的卓别林。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.webp
可可西里,陆川 Chuan Lu   ,多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,2004,剧情 犯罪,8.8,坚硬的信仰。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2363208684.webp
奇迹男孩,斯蒂芬·卓博斯基 Stephen Chbosky   ,雅各布·特伦布莱 Jacob Tr...,2017,剧情 儿童 家庭,8.6,世界不完美，爱会有奇迹。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507709428.webp
人工智能,史蒂文·斯皮尔伯格 Steven Spielberg   ,海利·乔·奥斯蒙 Haley...,2001,剧情 科幻,8.7,对爱的执着，可以超越一切。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792257137.webp
海边的曼彻斯特,肯尼斯·罗纳根 Kenneth Lonergan   ,卡西·阿弗莱克 Casey Affle...,2016,剧情 家庭,8.6,我们都有权利不与自己的过去和解。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2421855655.webp
初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,,2010,剧情 喜剧 爱情,8.4,黑小鸭速效美白记。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1505312273.webp
罗生门,黑泽明 Akira Kurosawa   ,三船敏郎 Toshirô Mifune / 京町子 ...,1950,剧情 犯罪 悬疑,8.8,人生的N种可能性。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1598883511.webp
终结者2：审判日,詹姆斯·卡梅隆 James Cameron   ,阿诺·施瓦辛格 Arnold Schwarz...,1991,动作 科幻,8.8,少见的超越首部的续集，动作片中的经典。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.webp
大佛普拉斯,黄信尧 Hsin-yao Huang   ,庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...,2017,剧情 喜剧,8.7,人们可以登上月球，却永远无法探索人们内心的宇宙。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2505928032.webp
房间,伦尼·阿伯拉罕森 Lenny Abrahamson   ,布丽·拉尔森 Brie Larson...,2015,剧情 家庭,8.8,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.webp
遗愿清单,罗伯·莱纳 Rob Reiner   ,杰克·尼科尔森 Jack Nicholson / 摩根...,2007,冒险 喜剧 剧情,8.7,用剩余不多的时间，去燃烧整个生命。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1481879628.webp
牯岭街少年杀人事件,杨德昌 Edward Yang   ,张震 Chen Chang / 杨静怡 Lisa Yang / 张...,1991,剧情 犯罪,8.9,弱者送给弱者的一刀。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p848381236.webp
源代码,邓肯·琼斯 Duncan Jones   ,杰克·吉伦哈尔 Jake Gyllenhaal / ...,2011,科幻 悬疑 惊悚,8.5,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p988260245.webp
青蛇,徐克 Hark Tsui   ,张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,1993,剧情 爱情 奇幻 古装,8.6,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2570901292.webp
新龙门客栈,李惠民 Raymond Lee   ,张曼玉 Maggie Cheung / 林青霞 Brigitte ...,1992,动作 爱情 武侠 古装,8.6,嬉笑怒骂，调风动月。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.webp
波西米亚狂想曲,布莱恩·辛格 Bryan Singer   ,拉米·马雷克 Rami Malek / 本·哈...,2018,剧情 传记 同性 音乐,8.7,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2549558913.webp
魂断蓝桥,茂文·勒鲁瓦 Mervyn LeRoy   ,费雯·丽 Vivien Leigh / 罗伯特·...,1940,剧情 爱情 战争,8.8,中国式内在的美国电影。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.webp
疯狂的麦克斯4：狂暴之路,乔治·米勒 George Miller   ,汤姆·哈迪 Tom Hardy / 查理兹·塞...,2015,动作 科幻 冒险,8.6,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2236181653.webp
